"","state","state.name","middate","pollster","pollster_id","samplesize","population","clinton","trump"
"33","AL","Alabama","9/29/16","Ipsos",25,353,"likelyvoters",36.51,56.76
"34","AL","Alabama","9/25/16","CVOTER International",192,545,"likelyvoters",36,59.4
"35","AL","Alabama","9/23/16","Google Consumer Surveys",73,361,"likelyvoters",29.18,48.39
"36","AL","Alabama","9/22/16","Ipsos",25,312,"likelyvoters",37.02,55.52
"37","AL","Alabama","9/18/16","CVOTER International",192,558,"likelyvoters",36.1,58.4
"38","AL","Alabama","9/17/16","Google Consumer Surveys",73,413,"likelyvoters",18.35,55.11
"39","AL","Alabama","9/12/16","Ipsos",25,403,"likelyvoters",39.35,53.12
"40","AL","Alabama","9/10/16","Google Consumer Surveys",73,425,"likelyvoters",19.02,56.78
"41","AL","Alabama","9/5/16","Ipsos",25,392,"likelyvoters",40.11,52.94
"42","AL","Alabama","9/3/16","Google Consumer Surveys",73,358,"likelyvoters",21.28,55.58
"43","AL","Alabama","8/29/16","Ipsos",25,367,"likelyvoters",42.33,50.6
"44","AL","Alabama","8/27/16","Google Consumer Surveys",73,455,"likelyvoters",17.11,56.17
"45","AL","Alabama","8/22/16","Ipsos",25,367,"likelyvoters",39.39,51.54
"46","AL","Alabama","8/20/16","SurveyMonkey",352,958,"registeredvoters",31,53
"47","AL","Alabama","8/20/16","Google Consumer Surveys",73,414,"likelyvoters",17.97,56.78
"48","AL","Alabama","8/15/16","Ipsos",25,385,"likelyvoters",42.06,48.14
"49","AL","Alabama","8/13/16","Google Consumer Surveys",73,407,"likelyvoters",19.55,54.53
"50","AL","Alabama","8/8/16","Ipsos",25,380,"likelyvoters",36.3,54.53
"51","AL","Alabama","7/19/16","Strategy Research",NA,4100,"registeredvoters",33,57
"52","AL","Alabama","1/12/16","Strategy Research",NA,2700,"registeredvoters",32,68
"53","AR","Arkansas","10/17/16","Google Consumer Surveys",73,238,"likelyvoters",27.32,44.58
"54","AR","Arkansas","10/12/16","CVOTER International",192,323,"likelyvoters",37.4,56.7
"55","AR","Arkansas","10/12/16","Google Consumer Surveys",73,189,"likelyvoters",34.43,38.13
"56","AR","Arkansas","10/10/16","Ipsos",25,283,"likelyvoters",34.43,52.7
"57","AR","Arkansas","10/6/16","Google Consumer Surveys",73,180,"likelyvoters",34.69,40.24
"58","AR","Arkansas","10/5/16","CVOTER International",192,319,"likelyvoters",37.2,56.1
"59","AR","Arkansas","10/3/16","Ipsos",25,314,"likelyvoters",35.6,52.44
"60","AR","Arkansas","9/30/16","Google Consumer Surveys",73,150,"likelyvoters",29.66,45.44
"61","AR","Arkansas","9/26/16","Ipsos",25,309,"likelyvoters",37.87,53.01
"62","AR","Arkansas","9/25/16","CVOTER International",192,483,"likelyvoters",35.8,58.6
"63","AR","Arkansas","9/23/16","Google Consumer Surveys",73,131,"likelyvoters",28.09,45.52
"64","AR","Arkansas","9/19/16","Ipsos",25,306,"likelyvoters",41.3,49.92
"65","AR","Arkansas","9/18/16","CVOTER International",192,483,"likelyvoters",36,57.5
"66","AR","Arkansas","9/17/16","Google Consumer Surveys",73,179,"likelyvoters",36.41,35.42
"67","AR","Arkansas","9/16/16","Hendrix College",207,831,"likelyvoters",34,55
"68","AR","Arkansas","9/12/16","Ipsos",25,280,"likelyvoters",41.08,49.15
"69","AR","Arkansas","9/11/16","Emerson College",119,600,"likelyvoters",29,57
"70","AR","Arkansas","9/10/16","Google Consumer Surveys",73,175,"likelyvoters",34.5,35.13
"71","AR","Arkansas","9/5/16","Ipsos",25,286,"likelyvoters",41.34,51.28
"72","AR","Arkansas","9/3/16","Google Consumer Surveys",73,189,"likelyvoters",33.78,40.6
"73","AR","Arkansas","8/29/16","Ipsos",25,266,"likelyvoters",41.42,49.8
"74","AR","Arkansas","8/27/16","Google Consumer Surveys",73,179,"likelyvoters",31.74,42.42
"75","AR","Arkansas","8/22/16","Ipsos",25,243,"likelyvoters",42.2,47.62
"76","AR","Arkansas","8/20/16","SurveyMonkey",352,765,"registeredvoters",37,46
"77","AR","Arkansas","8/20/16","Google Consumer Surveys",73,196,"likelyvoters",27.6,39.6
"78","AR","Arkansas","8/15/16","Ipsos",25,250,"likelyvoters",39.49,47.65
"79","AR","Arkansas","8/13/16","Google Consumer Surveys",73,151,"likelyvoters",23.56,40.99
"80","AR","Arkansas","8/8/16","Ipsos",25,290,"likelyvoters",39.83,44.73
"81","AR","Arkansas","6/21/16","Hendrix College",207,751,"registeredvoters",36,47
"82","AZ","Arizona","10/17/16","Data Orbital",NA,550,"likelyvoters",41,41
"83","AZ","Arizona","10/17/16","Google Consumer Surveys",73,629,"likelyvoters",41.78,31.4
"84","AZ","Arizona","10/17/16","Ipsos",25,300,"likelyvoters",42.59,44.59
"85","AZ","Arizona","10/14/16","HighGround",NA,400,"likelyvoters",38.5,36.5
"86","AZ","Arizona","10/12/16","Arizona State University",240,713,"likelyvoters",43.4,37.8
"87","AZ","Arizona","10/12/16","CVOTER International",192,355,"likelyvoters",44,50.6
"88","AZ","Arizona","10/12/16","SurveyMonkey",352,1028,"likelyvoters",41,44
"89","AZ","Arizona","10/12/16","Google Consumer Surveys",73,519,"likelyvoters",40.02,30.69
"90","AZ","Arizona","10/11/16","Data Orbital",NA,550,"likelyvoters",43,42
"91","AZ","Arizona","10/10/16","Ipsos",25,883,"likelyvoters",38.92,44.56
"92","AZ","Arizona","10/6/16","Google Consumer Surveys",73,562,"likelyvoters",38.24,35.87
"93","AZ","Arizona","10/5/16","CVOTER International",192,358,"likelyvoters",43.8,49.9
"94","AZ","Arizona","10/3/16","Emerson College",119,600,"likelyvoters",44,42
"95","AZ","Arizona","9/30/16","Google Consumer Surveys",73,579,"likelyvoters",38.76,32.92
"96","AZ","Arizona","9/29/16","Ipsos",25,617,"likelyvoters",42.22,49.06
"97","AZ","Arizona","9/29/16","MBQF",222,718,"likelyvoters",42,42
"98","AZ","Arizona","9/25/16","CVOTER International",192,556,"likelyvoters",42,52.3
"99","AZ","Arizona","9/23/16","Google Consumer Surveys",73,494,"likelyvoters",37.8,33.82
"100","AZ","Arizona","9/22/16","Ipsos",25,533,"likelyvoters",44.13,45.74
"101","AZ","Arizona","9/21/16","Data Orbital",NA,550,"likelyvoters",38,40
"102","AZ","Arizona","9/18/16","CVOTER International",192,554,"likelyvoters",41.7,51.8
"103","AZ","Arizona","9/17/16","Google Consumer Surveys",73,572,"likelyvoters",37.46,32.1
"104","AZ","Arizona","9/15/16","Ipsos",25,428,"likelyvoters",41.65,47.86
"105","AZ","Arizona","9/13/16","Insights West",NA,484,"likelyvoters",33,37
"106","AZ","Arizona","9/10/16","Google Consumer Surveys",73,601,"likelyvoters",33.95,34.56
"107","AZ","Arizona","9/8/16","Ipsos",25,467,"likelyvoters",39.48,46.11
"108","AZ","Arizona","9/7/16","Marist College",8,649,"likelyvoters",38,40
"109","AZ","Arizona","9/3/16","Google Consumer Surveys",73,635,"likelyvoters",34.87,34.6
"110","AZ","Arizona","9/1/16","Ipsos",25,458,"likelyvoters",39.57,45.89
"111","AZ","Arizona","8/27/16","Public Policy Polling",60,837,"likelyvoters",43,46
"112","AZ","Arizona","8/27/16","Gravis Marketing",181,1244,"likelyvoters",40,44
"113","AZ","Arizona","8/27/16","Google Consumer Surveys",73,533,"likelyvoters",37.2,32.28
"114","AZ","Arizona","8/26/16","MBQF",222,728,"likelyvoters",40,39
"115","AZ","Arizona","8/25/16","Ipsos",25,365,"likelyvoters",41.38,44.56
"116","AZ","Arizona","8/24/16","Arizona State University",240,704,"likelyvoters",39.9,36.8
"117","AZ","Arizona","8/20/16","CNN/Opinion Research Corp.",30,809,"likelyvoters",38,45
"118","AZ","Arizona","8/20/16","SurveyMonkey",352,2026,"registeredvoters",37,39
"119","AZ","Arizona","8/20/16","Google Consumer Surveys",73,530,"likelyvoters",35.06,26.9
"120","AZ","Arizona","8/18/16","Ipsos",25,362,"likelyvoters",43.18,46.01
"121","AZ","Arizona","8/13/16","Google Consumer Surveys",73,544,"likelyvoters",37.14,32.91
"122","AZ","Arizona","8/11/16","Ipsos",25,438,"likelyvoters",39,47.03
"123","AZ","Arizona","8/3/16","YouGov",81,1095,"likelyvoters",42,44
"124","AZ","Arizona","8/1/16","MBQF",222,996,"likelyvoters",45,42
"125","AZ","Arizona","7/29/16","Integrated Web Strategy",NA,679,"likelyvoters",41.3,48.8
"126","AZ","Arizona","6/20/16","MBQF",222,1060,"likelyvoters",46.5,42.2
"127","AZ","Arizona","6/15/16","Greenberg Quinlan Rosner (Democracy Corps)",127,300,"likelyvoters",39,45
"128","AZ","Arizona","4/7/16","Behavior Research Center (Rocky Mountain)",19,564,"registeredvoters",42,35
"129","AZ","Arizona","3/9/16","Merrill Poll",112,701,"likelyvoters",38,38
"130","AZ","Arizona","12/6/15","Strategies 360",70,504,"likelyvoters",42,44
"131","CA","California","10/17/16","Google Consumer Surveys",73,1384,"likelyvoters",47.95,26.85
"132","CA","California","10/17/16","Ipsos",25,503,"likelyvoters",63.82,25.62
"133","CA","California","10/14/16","SurveyUSA",12,725,"likelyvoters",56,30
"134","CA","California","10/12/16","CVOTER International",192,483,"likelyvoters",58.3,37.4
"135","CA","California","10/12/16","Google Consumer Surveys",73,1166,"likelyvoters",48.27,26.89
"136","CA","California","10/10/16","Ipsos",25,553,"likelyvoters",65.89,22.37
"137","CA","California","10/6/16","Google Consumer Surveys",73,1234,"likelyvoters",47.55,27.38
"138","CA","California","10/5/16","CVOTER International",192,474,"likelyvoters",58.2,37
"139","CA","California","10/3/16","Ipsos",25,974,"likelyvoters",61.26,27.86
"140","CA","California","9/30/16","Google Consumer Surveys",73,1463,"likelyvoters",46.59,28.33
"141","CA","California","9/27/16","SurveyUSA",12,723,"likelyvoters",59,33
"142","CA","California","9/26/16","Ipsos",25,787,"likelyvoters",63.67,23.74
"143","CA","California","9/25/16","CVOTER International",192,992,"likelyvoters",56.8,39
"144","CA","California","9/23/16","Google Consumer Surveys",73,1311,"likelyvoters",45.47,30.35
"145","CA","California","9/19/16","Ipsos",25,705,"likelyvoters",60.01,28.38
"146","CA","California","9/18/16","CVOTER International",192,951,"likelyvoters",57.2,38.1
"147","CA","California","9/17/16","Google Consumer Surveys",73,1374,"likelyvoters",46.39,28.05
"148","CA","California","9/13/16","Public Policy Institute of California",11,1055,"likelyvoters",47,31
"149","CA","California","9/13/16","Insights West",NA,515,"likelyvoters",57,30
"150","CA","California","9/12/16","Ipsos",25,577,"likelyvoters",62.5,24.22
"151","CA","California","9/10/16","YouGov",81,1426,"likelyvoters",50,33
"152","CA","California","9/10/16","Google Consumer Surveys",73,1544,"likelyvoters",43.37,26.36
"153","CA","California","9/9/16","SurveyUSA",12,678,"likelyvoters",57,32
"154","CA","California","9/5/16","Ipsos",25,751,"likelyvoters",59.58,32.19
"155","CA","California","9/4/16","SurveyMonkey",352,4212,"registeredvoters",49,29
"156","CA","California","9/3/16","Google Consumer Surveys",73,1457,"likelyvoters",43.85,27.51
"157","CA","California","8/29/16","Ipsos",25,534,"likelyvoters",62.67,24.2
"158","CA","California","8/27/16","Google Consumer Surveys",73,1584,"likelyvoters",43.75,26.11
"159","CA","California","8/26/16","Tulchin Research",93,601,"registeredvoters",52,31
"160","CA","California","8/26/16","Tulchin Research",93,601,"registeredvoters",49,35
"161","CA","California","8/22/16","Ipsos",25,518,"likelyvoters",60.74,25.03
"162","CA","California","8/20/16","SurveyMonkey",352,2574,"registeredvoters",49,28
"163","CA","California","8/20/16","Google Consumer Surveys",73,1668,"likelyvoters",40.62,27.65
"164","CA","California","8/15/16","Ipsos",25,1203,"likelyvoters",63.14,26.06
"165","CA","California","8/13/16","Google Consumer Surveys",73,1633,"likelyvoters",43.63,25.43
"166","CA","California","7/14/16","Public Policy Institute of California",11,1056,"likelyvoters",46,30
"167","CA","California","6/20/16","Field Research Corporation (Field Poll)",2,495,"likelyvoters",50,26
"168","CA","California","6/9/16","SurveyMonkey",352,1264,"likelyvoters",54,28
"169","CA","California","6/1/16","YouGov",81,1187,"likelyvoters",48,33
"170","CA","California","5/30/16","Marist College",8,1833,"registeredvoters",55,31
"171","CA","California","5/28/16","Field Research Corporation (Field Poll)",2,1002,"likelyvoters",53,34
"172","CA","California","5/25/16","Greenberg Quinlan Rosner/American Viewpoint",61,1150,"likelyvoters",54,33
"173","CA","California","5/20/16","SurveyUSA",12,1383,"likelyvoters",52,38
"174","CA","California","5/17/16","Public Policy Institute of California",11,996,"likelyvoters",49,39
"175","CA","California","5/10/16","YouGov",81,1196,"likelyvoters",45,33
"176","CA","California","4/28/16","SurveyUSA",12,2011,"registeredvoters",56,34
"177","CA","California","4/1/16","SurveyUSA",12,1507,"likelyvoters",60,26
"178","CA","California","3/29/16","Field Research Corporation (Field Poll)",2,1400,"registeredvoters",59,31
"179","CA","California","3/19/16","Greenberg Quinlan Rosner/American Viewpoint",61,1202,"likelyvoters",57,30
"180","CO","Colorado","10/17/16","Google Consumer Surveys",73,600,"likelyvoters",44.08,25.6
"181","CO","Colorado","10/13/16","Ipsos",25,445,"likelyvoters",45.01,41.24
"182","CO","Colorado","10/13/16","Quinnipiac University",26,685,"likelyvoters",45,37
"183","CO","Colorado","10/12/16","Gravis Marketing",181,1226,"registeredvoters",44,39
"184","CO","Colorado","10/12/16","Magellan Strategies",302,500,"likelyvoters",40,35
"185","CO","Colorado","10/12/16","CVOTER International",192,336,"likelyvoters",49.7,45.1
"186","CO","Colorado","10/12/16","SurveyMonkey",352,956,"likelyvoters",44,37
"187","CO","Colorado","10/12/16","Google Consumer Surveys",73,496,"likelyvoters",42.95,23.66
"188","CO","Colorado","10/6/16","Ipsos",25,561,"likelyvoters",46.61,40.89
"189","CO","Colorado","10/6/16","Google Consumer Surveys",73,529,"likelyvoters",41.46,25.52
"190","CO","Colorado","10/5/16","CVOTER International",192,338,"likelyvoters",49.8,44.3
"191","CO","Colorado","10/3/16","Gravis Marketing",181,1246,"registeredvoters",40,40
"192","CO","Colorado","9/30/16","Monmouth University",1,400,"likelyvoters",49,38
"193","CO","Colorado","9/30/16","Google Consumer Surveys",73,558,"likelyvoters",38.58,28.19
"194","CO","Colorado","9/29/16","Ipsos",25,552,"likelyvoters",44.77,44.86
"195","CO","Colorado","9/28/16","Keating Research, Inc.",76,602,"likelyvoters",44,33
"196","CO","Colorado","9/27/16","Public Policy Polling",60,694,"likelyvoters",46,40
"197","CO","Colorado","9/25/16","CVOTER International",192,553,"likelyvoters",48.3,46.6
"198","CO","Colorado","9/23/16","Google Consumer Surveys",73,530,"likelyvoters",36.67,31.48
"199","CO","Colorado","9/22/16","CNN/Opinion Research Corp.",30,784,"likelyvoters",41,42
"200","CO","Colorado","9/22/16","Gravis Marketing",181,799,"registeredvoters",37,41
"201","CO","Colorado","9/22/16","Ipsos",25,463,"likelyvoters",43.25,45.22
"202","CO","Colorado","9/22/16","YouGov",81,991,"likelyvoters",40,39
"203","CO","Colorado","9/18/16","CVOTER International",192,538,"likelyvoters",48.9,45.4
"204","CO","Colorado","9/17/16","Quinnipiac University",26,644,"likelyvoters",44,42
"205","CO","Colorado","9/17/16","Google Consumer Surveys",73,550,"likelyvoters",40.6,28.49
"206","CO","Colorado","9/16/16","Franklin & Marshall College",45,350,"likelyvoters",41,34
"207","CO","Colorado","9/15/16","Ipsos",25,391,"likelyvoters",42.05,43.82
"208","CO","Colorado","9/11/16","Emerson College",119,600,"likelyvoters",38,42
"209","CO","Colorado","9/10/16","Google Consumer Surveys",73,603,"likelyvoters",36.23,28.93
"210","CO","Colorado","9/8/16","Ipsos",25,421,"likelyvoters",40.11,43.13
"211","CO","Colorado","9/3/16","Google Consumer Surveys",73,626,"likelyvoters",37.36,28.53
"212","CO","Colorado","9/1/16","Ipsos",25,417,"likelyvoters",40.5,43.29
"213","CO","Colorado","8/30/16","Magellan Strategies",302,500,"likelyvoters",41,36
"214","CO","Colorado","8/27/16","Google Consumer Surveys",73,549,"likelyvoters",38.94,23.91
"215","CO","Colorado","8/22/16","Ipsos",25,495,"likelyvoters",44.57,38.55
"216","CO","Colorado","8/20/16","SurveyMonkey",352,2428,"registeredvoters",37,37
"217","CO","Colorado","8/20/16","Google Consumer Surveys",73,512,"likelyvoters",40.49,23.95
"218","CO","Colorado","8/15/16","Ipsos",25,568,"likelyvoters",43.04,39.74
"219","CO","Colorado","8/13/16","Google Consumer Surveys",73,552,"likelyvoters",36.77,27.97
"220","CO","Colorado","8/12/16","Quinnipiac University",26,830,"likelyvoters",41,33
"221","CO","Colorado","8/8/16","Ipsos",25,420,"likelyvoters",42.39,38.74
"222","CO","Colorado","8/7/16","Marist College",8,899,"registeredvoters",41,29
"223","CO","Colorado","7/10/16","Fox News/Anderson Robbins Research/Shaw & Company Research",17,600,"registeredvoters",37,28
"224","CO","Colorado","7/10/16","Monmouth University",1,404,"likelyvoters",48,35
"225","CO","Colorado","7/8/16","Marist College",8,794,"registeredvoters",39,33
"226","CO","Colorado","7/8/16","Harper Polling",148,500,"likelyvoters",45,38
"227","CO","Colorado","6/22/16","YouGov",81,996,"likelyvoters",40,39
"228","CO","Colorado","2/27/16","Keating Research, Inc.",76,450,"likelyvoters",49,39
"229","CO","Colorado","11/13/15","Quinnipiac University",26,1262,"registeredvoters",37,48
"230","CT","Connecticut","10/17/16","Google Consumer Surveys",73,344,"likelyvoters",40.38,33.37
"231","CT","Connecticut","10/12/16","CVOTER International",192,326,"likelyvoters",54.7,41.7
"232","CT","Connecticut","10/12/16","Google Consumer Surveys",73,262,"likelyvoters",48.96,27.69
"233","CT","Connecticut","10/10/16","Ipsos",25,437,"likelyvoters",52.56,34.83
"234","CT","Connecticut","10/6/16","Google Consumer Surveys",73,300,"likelyvoters",44.26,26.17
"235","CT","Connecticut","10/5/16","CVOTER International",192,331,"likelyvoters",54.4,41.6
"236","CT","Connecticut","10/3/16","Ipsos",25,505,"likelyvoters",53,36.07
"237","CT","Connecticut","9/30/16","Google Consumer Surveys",73,312,"likelyvoters",44.46,26.58
"238","CT","Connecticut","9/29/16","Ipsos",25,352,"likelyvoters",53.48,35.23
"239","CT","Connecticut","9/25/16","CVOTER International",192,520,"likelyvoters",53.6,42.8
"240","CT","Connecticut","9/23/16","Google Consumer Surveys",73,291,"likelyvoters",37.53,31.5
"241","CT","Connecticut","9/19/16","Ipsos",25,455,"likelyvoters",52.01,34.09
"242","CT","Connecticut","9/18/16","CVOTER International",192,512,"likelyvoters",53.7,41.9
"243","CT","Connecticut","9/17/16","Google Consumer Surveys",73,307,"likelyvoters",39,31.8
"244","CT","Connecticut","9/12/16","Ipsos",25,440,"likelyvoters",47.33,37.36
"245","CT","Connecticut","9/10/16","Google Consumer Surveys",73,304,"likelyvoters",41.81,26.44
"246","CT","Connecticut","9/5/16","Ipsos",25,456,"likelyvoters",47.21,37.48
"247","CT","Connecticut","9/3/16","Emerson College",119,1000,"likelyvoters",50,35
"248","CT","Connecticut","9/3/16","Google Consumer Surveys",73,310,"likelyvoters",38.56,26.41
"249","CT","Connecticut","8/29/16","Ipsos",25,428,"likelyvoters",45.75,40.14
"250","CT","Connecticut","8/27/16","Google Consumer Surveys",73,309,"likelyvoters",40.68,25.54
"251","CT","Connecticut","8/22/16","Ipsos",25,358,"likelyvoters",47.04,39.13
"252","CT","Connecticut","8/20/16","SurveyMonkey",352,1053,"registeredvoters",44,33
"253","CT","Connecticut","8/20/16","Google Consumer Surveys",73,327,"likelyvoters",43.88,26.51
"254","CT","Connecticut","8/15/16","Ipsos",25,387,"likelyvoters",49.91,37.43
"255","CT","Connecticut","8/13/16","Google Consumer Surveys",73,301,"likelyvoters",41.81,26.61
"256","CT","Connecticut","8/8/16","Ipsos",25,358,"likelyvoters",49.73,36.71
"257","CT","Connecticut","6/3/16","Quinnipiac University",26,1330,"registeredvoters",41,36
"258","CT","Connecticut","4/10/16","Emerson College",119,1043,"likelyvoters",48,40
"259","DC","District of Columbia","10/17/16","Google Consumer Surveys",73,66,"likelyvoters",65.81,7.06
"260","DC","District of Columbia","10/12/16","CVOTER International",192,313,"likelyvoters",80.9,13.1
"261","DC","District of Columbia","10/12/16","Google Consumer Surveys",73,62,"likelyvoters",58.06,21.25
"262","DC","District of Columbia","10/6/16","Google Consumer Surveys",73,61,"likelyvoters",57.9,15.1
"263","DC","District of Columbia","10/5/16","CVOTER International",192,316,"likelyvoters",80.3,13.9
"264","DC","District of Columbia","9/30/16","Google Consumer Surveys",73,64,"likelyvoters",62.21,9.8
"265","DC","District of Columbia","9/25/16","CVOTER International",192,488,"likelyvoters",78.9,14.4
"266","DC","District of Columbia","9/23/16","Google Consumer Surveys",73,52,"likelyvoters",66.53,15.3
"267","DC","District of Columbia","9/18/16","CVOTER International",192,486,"likelyvoters",80.5,14.3
"268","DC","District of Columbia","9/17/16","Google Consumer Surveys",73,73,"likelyvoters",43.22,28.46
"269","DC","District of Columbia","9/10/16","Google Consumer Surveys",73,73,"likelyvoters",38.8,32.39
"270","DC","District of Columbia","9/3/16","Google Consumer Surveys",73,66,"likelyvoters",47.85,21.78
"271","DC","District of Columbia","8/27/16","Google Consumer Surveys",73,67,"likelyvoters",44.27,25.62
"272","DC","District of Columbia","8/20/16","Google Consumer Surveys",73,58,"likelyvoters",54.01,22.16
"273","DC","District of Columbia","8/13/16","Google Consumer Surveys",73,54,"likelyvoters",44.16,24.78
"274","DE","Delaware","10/17/16","Google Consumer Surveys",73,113,"likelyvoters",37.21,28.18
"275","DE","Delaware","10/12/16","CVOTER International",192,315,"likelyvoters",55.5,41.6
"276","DE","Delaware","10/12/16","Google Consumer Surveys",73,93,"likelyvoters",41.18,28.45
"277","DE","Delaware","10/10/16","Ipsos",25,121,"likelyvoters",47.83,33.89
"278","DE","Delaware","10/6/16","Google Consumer Surveys",73,103,"likelyvoters",40.37,28.34
"279","DE","Delaware","10/5/16","CVOTER International",192,312,"likelyvoters",55.2,41.4
"280","DE","Delaware","10/3/16","Ipsos",25,135,"likelyvoters",46.96,39.29
"281","DE","Delaware","9/30/16","Google Consumer Surveys",73,78,"likelyvoters",47.37,18.2
"282","DE","Delaware","9/26/16","Ipsos",25,131,"likelyvoters",46.26,35.62
"283","DE","Delaware","9/25/16","CVOTER International",192,475,"likelyvoters",54.2,42.9
"284","DE","Delaware","9/23/16","Google Consumer Surveys",73,90,"likelyvoters",25.92,23.36
"285","DE","Delaware","9/22/16","University of Delaware",NA,762,"likelyvoters",51,30
"286","DE","Delaware","9/19/16","Ipsos",25,124,"likelyvoters",43.16,35.28
"287","DE","Delaware","9/18/16","CVOTER International",192,479,"likelyvoters",54.2,42.4
"288","DE","Delaware","9/17/16","Google Consumer Surveys",73,85,"likelyvoters",41.23,30.04
"289","DE","Delaware","9/12/16","Ipsos",25,116,"likelyvoters",40.04,32.95
"290","DE","Delaware","9/10/16","Google Consumer Surveys",73,103,"likelyvoters",33.9,28.33
"291","DE","Delaware","9/5/16","Ipsos",25,115,"likelyvoters",43.33,28.07
"292","DE","Delaware","9/3/16","Google Consumer Surveys",73,123,"likelyvoters",37.37,30.62
"293","DE","Delaware","8/29/16","Ipsos",25,101,"likelyvoters",45.64,23.53
"294","DE","Delaware","8/27/16","Google Consumer Surveys",73,99,"likelyvoters",34.1,31.69
"295","DE","Delaware","8/20/16","SurveyMonkey",352,637,"registeredvoters",43,33
"296","DE","Delaware","8/20/16","Google Consumer Surveys",73,101,"likelyvoters",35.71,23.01
"297","DE","Delaware","8/13/16","Google Consumer Surveys",73,94,"likelyvoters",34.47,32.29
"298","DE","Delaware","8/8/16","Ipsos",25,117,"likelyvoters",44.1,22.13
"299","DE","Delaware","7/22/16","Fairleigh Dickinson University (PublicMind)",15,715,"registeredvoters",42,32
"300","FL","Florida","10/20/16","Opinion Savvy/InsiderAdvantage",338,538,"likelyvoters",49,45
"301","FL","Florida","10/17/16","Cherry Communications",303,507,"likelyvoters",46,42
"302","FL","Florida","10/17/16","Ipsos",25,631,"likelyvoters",48.01,44.38
"303","FL","Florida","10/17/16","Google Consumer Surveys",73,987,"likelyvoters",38.49,38.56
"304","FL","Florida","10/16/16","Rasmussen Reports/Pulse Opinion Research",264,875,"likelyvoters",47,41
"305","FL","Florida","10/13/16","Quinnipiac University",26,660,"likelyvoters",48,44
"306","FL","Florida","10/12/16","Public Policy Polling",60,985,"likelyvoters",46,42
"307","FL","Florida","10/12/16","CVOTER International",192,401,"likelyvoters",48.7,46.3
"308","FL","Florida","10/12/16","Gravis Marketing",181,1799,"registeredvoters",46,42
"309","FL","Florida","10/12/16","SurveyMonkey",352,1702,"likelyvoters",43,45
"310","FL","Florida","10/12/16","Google Consumer Surveys",73,964,"likelyvoters",36.93,39.19
"311","FL","Florida","10/10/16","Opinion Savvy/InsiderAdvantage",338,533,"likelyvoters",46.9,44.1
